,post,likes,sponsored,nPost,followers,followees,nIgtv,business,verified,day,month,hour_of_day,category
145,2021-04-25_23-51-43_UTC,2814,0,2266,92464,521,3,0,0,Monday,4,0.0,Other
151,2021-12-16_08-48-56_UTC,3493,0,3200,105003,96,23,0,1,Thursday,12,9.0,Other
153,2021-12-15_08-26-47_UTC,5310,0,3200,105003,96,23,0,1,Wednesday,12,9.0,Other
154,2021-12-14_20-52-51_UTC,579,0,3200,105003,96,23,0,1,Tuesday,12,21.0,Other
156,2021-12-11_09-26-46_UTC,4124,0,3200,105003,96,23,0,1,Saturday,12,10.0,Other
157,2021-12-08_08-09-55_UTC,3126,0,3200,105003,96,23,0,1,Wednesday,12,9.0,Other
159,2021-12-06_07-52-17_UTC,4226,0,3200,105003,96,23,0,1,Monday,12,8.0,Other
164,2021-11-30_06-52-35_UTC,4129,0,3200,105003,96,23,0,1,Tuesday,11,7.0,Other
167,2021-11-25_07-31-02_UTC,1565,0,3200,105003,96,23,0,1,Thursday,11,8.0,Other
168,2021-11-24_07-44-21_UTC,2328,0,3200,105003,96,23,0,1,Wednesday,11,8.0,Other
171,2021-11-20_07-18-46_UTC,3337,0,3200,105003,96,23,0,1,Saturday,11,8.0,Other
172,2021-11-19_08-03-47_UTC,914,0,3200,105003,96,23,0,1,Friday,11,9.0,Other
173,2021-11-18_06-07-24_UTC,2486,0,3200,105003,96,23,0,1,Thursday,11,7.0,Other
176,2021-11-13_08-40-59_UTC,1810,0,3200,105003,96,23,0,1,Saturday,11,9.0,Other
181,2021-11-06_21-05-51_UTC,2538,0,3200,105003,96,23,0,1,Saturday,11,22.0,Other
185,2021-11-01_21-00-43_UTC,4882,0,3200,105003,96,23,0,1,Monday,11,22.0,Other
188,2021-10-29_07-01-20_UTC,9742,0,3200,105003,96,23,0,1,Friday,10,8.0,Other
190,2021-10-27_04-16-42_UTC,9671,0,3200,105003,96,23,0,1,Wednesday,10,5.0,Other
191,2021-10-25_07-12-33_UTC,8381,0,3200,105003,96,23,0,1,Monday,10,8.0,Other
193,2021-10-22_06-36-21_UTC,3308,0,3200,105003,96,23,0,1,Friday,10,7.0,Other
202,2021-10-11_05-42-12_UTC,6129,0,3200,105003,96,23,0,1,Monday,10,6.0,Other
214,2021-09-29_07-02-49_UTC,8726,0,3200,105003,96,23,0,1,Wednesday,9,8.0,Other
215,2021-09-26_06-33-28_UTC,4816,0,3200,105003,96,23,0,1,Sunday,9,7.0,Other
223,2021-09-19_07-18-46_UTC,1329,0,3200,105003,96,23,0,1,Sunday,9,8.0,Other
224,2021-09-18_06-38-24_UTC,6310,0,3200,105003,96,23,0,1,Saturday,9,7.0,Other
