,post,faces,is_people,label,acc
0,2021-01-10_15-04-17_UTC.jpg,0,Indeterminate,outdoor,0.996639
1,2021-01-13_22-01-18_UTC.jpg,0,Indeterminate,indoor,0.99795294
2,2021-01-15_15-57-05_UTC.jpg,0,Indeterminate,indoor,0.5455438
3,2021-01-28_23-03-27_UTC.jpg,0,Indeterminate,outdoor,0.9557537
4,2021-02-01_22-17-39_UTC.jpg,0,Indeterminate,indoor,0.645258
5,2021-02-07_23-05-10_UTC.jpg,0,Indeterminate,indoor,0.8775689
6,2021-03-04_17-13-14_UTC.jpg,0,Indeterminate,indoor,0.9920551
7,2021-03-11_21-59-04_UTC.jpg,1,true,outdoor,0.5458636
8,2021-03-19_22-55-06_UTC.jpg,0,Indeterminate,indoor,0.6542621
9,2021-03-20_19-54-05_UTC.jpg,0,Indeterminate,indoor,0.8941281
10,2021-03-22_13-43-12_UTC.jpg,2,true,indoor,0.7991736
11,2021-03-28_13-51-58_UTC.jpg,0,Indeterminate,indoor,0.7389229
12,2021-03-31_16-22-04_UTC.jpg,2,true,indoor,0.8974218
13,2021-04-02_15-55-39_UTC.jpg,2,true,indoor,0.5756684
14,2021-04-20_13-43-40_UTC.jpg,0,Indeterminate,indoor,0.8942424
15,2021-05-02_19-41-10_UTC.jpg,0,Indeterminate,indoor,0.92464644
16,2021-05-03_14-21-12_UTC.jpg,0,Indeterminate,indoor,0.73091024
17,2021-05-06_13-55-57_UTC.jpg,1,true,indoor,0.7587353
18,2021-05-08_14-13-12_UTC.jpg,0,Indeterminate,outdoor,0.6021562
19,2021-05-09_21-20-06_UTC.jpg,1,true,outdoor,0.8862979
20,2021-05-16_22-17-27_UTC.jpg,0,Indeterminate,indoor,0.9627576
21,2021-05-18_18-02-51_UTC.jpg,0,Indeterminate,indoor,0.7238545
22,2021-05-24_19-27-51_UTC.jpg,1,true,indoor,0.99659795
23,2021-06-02_15-02-19_UTC.jpg,0,Indeterminate,indoor,0.8716581
24,2021-06-14_23-52-28_UTC.jpg,3,true,indoor,0.9955077
25,2021-06-14_23-55-04_UTC.jpg,4,true,indoor,0.98535246
26,2021-06-19_06-24-37_UTC.jpg,4,true,indoor,0.54358137
27,2021-06-25_16-43-12_UTC.jpg,1,true,indoor,0.8953058
28,2021-07-02_13-26-13_UTC.jpg,1,true,outdoor,0.58724374
29,2021-07-08_03-18-11_UTC.jpg,0,Indeterminate,indoor,0.9697231
30,2021-07-11_19-40-00_UTC.jpg,0,Indeterminate,outdoor,0.9331631
31,2021-07-13_22-48-45_UTC.jpg,0,Indeterminate,indoor,0.98467153
32,2021-07-23_01-43-21_UTC.jpg,0,Indeterminate,indoor,0.5589816
33,2021-08-10_12-36-53_UTC.jpg,0,Indeterminate,indoor,0.9806292
34,2021-08-12_13-15-01_UTC.jpg,2,true,indoor,0.668812
35,2021-08-15_23-35-25_UTC.jpg,0,Indeterminate,outdoor,0.78530276
36,2021-08-27_21-46-35_UTC.jpg,0,Indeterminate,indoor,0.93173087
37,2021-08-31_14-13-46_UTC.jpg,1,true,indoor,0.95341265
38,2021-09-02_12-51-08_UTC.jpg,1,true,outdoor,0.9522119
39,2021-09-08_12-28-54_UTC.jpg,1,true,indoor,0.8763004
40,2021-09-09_18-08-25_UTC.jpg,5,true,indoor,0.9606888
41,2021-09-20_15-08-00_UTC.jpg,3,true,indoor,0.58900213
42,2021-09-20_17-19-18_UTC.jpg,2,true,indoor,0.9896466
43,2021-09-22_17-37-07_UTC.jpg,0,Indeterminate,indoor,0.7812961
44,2021-09-28_13-20-53_UTC.jpg,0,Indeterminate,indoor,0.953704
45,2021-10-01_13-01-31_UTC.jpg,1,true,outdoor,0.9898261
46,2021-10-01_20-25-13_UTC.jpg,0,Indeterminate,indoor,0.9900123
47,2021-10-05_13-14-09_UTC.jpg,2,true,outdoor,0.9617224
48,2021-10-06_13-56-05_UTC.jpg,5,true,outdoor,0.9885229
49,2021-10-07_14-08-21_UTC.jpg,1,true,indoor,0.9755343
50,2021-10-13_14-09-06_UTC.jpg,1,true,indoor,0.98777163
51,2021-10-19_13-54-26_UTC.jpg,2,true,outdoor,0.9676838
52,2021-10-20_19-13-02_UTC.jpg,0,Indeterminate,indoor,0.7936557
